date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:20:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2029%20Jun%202021%2022:20:32%20GMT	https://igsosana.org/?p=2101	C:/My%20Web%20Sites/igsosana/igsosana.org/index5171.html	(from https://igsosana.org/excellence-campaign-giving/)
23:20:37	144717/144717	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Jun%202021%2022:20:35%20GMT	https://igsosana.org/connections/get-involved/donate-online/donate/	C:/My%20Web%20Sites/igsosana/igsosana.org/connections/get-involved/donate-online/donate/index.html	(from https://igsosana.org/excellence-campaign-giving/)
23:20:38	106650/106650	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Jun%202021%2022:20:36%20GMT	https://igsosana.org/redeem/	C:/My%20Web%20Sites/igsosana/igsosana.org/redeem/index.html	(from https://igsosana.org/redeem)
23:20:39	8595/8595	---M--	200	added ('OK')	image/jpeg	etag:%222193-5be9f016-c38259ec1904ce08;;;%22	https://igsosana.org/wp-content/uploads/2018/10/1-after-300x204.jpg	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/uploads/2018/10/1-after-300x204.jpg	(from https://igsosana.org/connections/get-involved/projects/)
23:20:39	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2029%20Jun%202021%2022:20:35%20GMT	https://igsosana.org/donate	C:/My%20Web%20Sites/igsosana/igsosana.org/donate	(from https://igsosana.org/connections/get-involved/donate-online/)
23:20:39	153/153	---M--	401	error ('Unauthorized')	application/json	date:Tue,%2029%20Jun%202021%2022:20:38%20GMT	https://igsosana.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Figsosana.org%2Fconnections%2Fget-involved%2Fprojects%2F	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-json/oembed/1.0/embed8c56	(from https://igsosana.org/connections/get-involved/projects/)
23:20:40	3782/3782	---M-Z	200	added ('OK')	text/css	etag:%22ec6-60d8acd2-fb4aa58583431e5;gz%22	https://igsosana.org/wp-content/uploads/elementor/css/post-1243.css?ver=1624812754	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/uploads/elementor/css/post-12433f85.css	(from https://igsosana.org/the-106th-founders-day-celebrations/)
23:20:41	121394/121394	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Jun%202021%2022:20:40%20GMT	https://igsosana.org/chemistry-biology-labs-renovation/	C:/My%20Web%20Sites/igsosana/igsosana.org/chemistry-biology-labs-renovation/index.html	(from https://igsosana.org/connections/get-involved/projects/)
23:20:42	153/153	---M--	401	error ('Unauthorized')	application/json	date:Tue,%2029%20Jun%202021%2022:20:41%20GMT	https://igsosana.org/wp-json/wp/v2/posts/1243	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-json/wp/v2/posts/1243	(from https://igsosana.org/the-106th-founders-day-celebrations/)
23:20:44	153/153	---M--	401	error ('Unauthorized')	application/json	date:Tue,%2029%20Jun%202021%2022:20:43%20GMT	https://igsosana.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Figsosana.org%2Fthe-106th-founders-day-celebrations%2F	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-json/oembed/1.0/embed28e9	(from https://igsosana.org/the-106th-founders-day-celebrations/)
23:20:44	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2029%20Jun%202021%2022:20:44%20GMT	https://igsosana.org/?p=1243	C:/My%20Web%20Sites/igsosana/igsosana.org/index4e41.html	(from https://igsosana.org/the-106th-founders-day-celebrations/)
23:20:45	212/212	---M--	401	error ('Unauthorized')	text/xml	date:Tue,%2029%20Jun%202021%2022:20:45%20GMT	https://igsosana.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Figsosana.org%2Fthe-106th-founders-day-celebrations%2F&format=xml	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-json/oembed/1.0/embed974c	(from https://igsosana.org/the-106th-founders-day-celebrations/)
23:20:48	65702/65702	---M--	200	added ('OK')	image/jpeg	etag:%22100a6-5ccc7e2d-b20b2bb8edae1068;;;%22	https://igsosana.org/wp-content/uploads/2019/05/pic1.jpg	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/uploads/2019/05/pic1.jpg	(from https://igsosana.org/the-106th-founders-day-celebrations/)
